#{"t_start": 1764217514.1654038, "env_id": "CarRacing-v3"}
r,l,t
-18.727915,1000,4.650138
-31.547619,1000,8.894273
-16.376307,1000,12.856624
-23.875433,1000,16.889677
0.694444,1000,21.089185
-36.842105,1000,25.207482
-38.405797,1000,29.565605
-36.102236,1000,33.942875
-36.363636,1000,38.199571
11.510791,1000,42.341728
-65.517241,1000,61.320497
-73.333333,1000,80.78805
-42.857143,1000,100.50586
-4.761905,1000,121.765504
-163.654545,783,138.321664
-32.432432,1000,159.97916
36.363636,1000,181.150739
-23.357664,1000,202.980006
-67.509025,1000,223.952174
-23.58804,1000,244.703374
16.541353,1000,265.841967
-30.313589,1000,286.596108
-83.388704,1000,307.41147
-20.454545,1000,327.925
1.449275,1000,349.069534
-35.897436,1000,368.679892
-17.602996,1000,388.008678
13.864516,193,391.657967
7.142857,1000,411.021904
-28.87193,202,414.931743
-52.978056,1000,433.966914
-20.634921,1000,453.111027
-29.054054,1000,472.304962
-23.636364,1000,491.139614
-58.954054,300,496.817302
-14.473684,1000,516.070607
-88.30989,983,535.836806
-15.584416,1000,556.338931
-83.108108,1000,576.846047
5.263158,1000,597.086204
-21.933086,1000,617.608776
-34.782609,1000,637.83927
-77.52809,1000,658.267278
-37.313433,1000,678.658285
-33.554817,1000,699.848085
-26.421405,1000,720.176979
-40.677966,1000,740.737793
-64.788732,1000,761.158136
-29.824561,1000,781.575959
-18.088737,1000,801.977162
-74.522293,1000,822.652059
-74.358974,1000,843.211414
-25.19685,1000,1342.297119
-6.451613,1000,1352.434758
-64.912281,1000,1361.634561
-52.229299,1000,1370.57464
11.498258,1000,1379.330144
-69.348659,1000,1388.19202
-35.483871,1000,1397.046932
-23.357664,1000,1405.918762
-17.266187,1000,1414.80061
-56.043956,1000,1423.618604
-69.283276,1000,1432.442066
-41.176471,1000,1440.872421
-61.389961,1000,1449.499319
-74.276527,1000,1458.607683
57.342657,1000,1467.301658
-60.144928,1000,1475.960454
-17.647059,1000,1484.22347
-76.618543,595,1489.652479
-33.797909,1000,1498.394599
-148.079468,824,1504.993961
-15.584416,1000,1513.708613
23.239437,1000,1522.639941
-47.540984,1000,1531.268809
-38.983051,1000,1540.001698
-70.099668,1000,1548.579236
-84.47205,1000,1557.518355
-52.205882,1000,1566.194566
-85.337243,1000,1574.972297
-41.348974,1000,1583.442043
-58.041958,1000,1592.719313
-66.153846,1000,1601.718122
-49.367089,1000,1610.831481
-43.620178,1000,1620.297813
-58.762887,1000,1629.784753
-58.174905,1000,1638.875453
-50.0,1000,1647.75239
-80.392157,1000,1656.909405
-38.628159,1000,1666.765003
-81.343284,1000,1691.139142
-8.196721,1000,1701.24356
-46.428571,1000,1710.428731
-82.352941,1000,1719.836899
-23.875433,1000,1728.764694
-55.32646,1000,1738.073909
-47.916667,1000,1747.605171
-36.877076,1000,1757.365368
-16.666667,1000,1766.840391
-27.631579,1000,1776.433426
-60.13289,1000,1785.915766
-64.516129,1000,1796.182625
-14.0625,1000,1806.3304
-64.630225,1000,1816.545577
-77.346278,1000,1826.179168
-81.751825,1000,1835.89584
-59.183673,1000,1845.249611
0.31348,1000,1855.017242
55.797101,1000,1864.425276
-13.194444,1000,1874.363355
-53.642384,1000,1884.262747
-50.0,1000,1893.971805
-71.875,1000,1903.644551
-51.038558,828,1911.94035
27.737226,1000,1921.561421
-49.494949,1000,1931.257547
8.552632,1000,1940.462295
-41.176471,1000,1950.14604
-54.225352,1000,1959.511142
-55.555556,1000,1968.510455
-56.20438,1000,1977.233928
-43.820225,1000,1986.219318
-67.032967,1000,1995.297886
-70.326409,1000,2004.860896
-38.271605,1000,2014.392987
-23.076923,1000,2024.042034
-13.22314,1000,2032.778554
-28.338762,1000,2042.242183
1.351351,1000,2052.136062
-39.716312,1000,2062.359734
17.056856,1000,2071.80169
-17.218543,1000,2081.349786
29.615789,218,2083.521531
-50.166113,1000,2093.078885
-72.318339,1000,2102.173181
-29.292929,1000,2111.718771
-41.348974,1000,2121.618479
-80.587179,512,2126.971363
-88.5,511,2131.97375
-56.6787,1000,2728.599566
-75.903614,1000,2738.118372
-74.637681,1000,2747.288279
-78.193146,1000,2756.467137
6.52921,1000,2765.332369
-76.351351,1000,2774.57244
-36.026936,1000,2783.625333
-38.848921,1000,2792.732376
-45.945946,1000,2801.539406
-45.619335,1000,2811.108549
-59.70696,1000,2820.385913
-57.377049,1000,2829.459938
-34.545455,1000,2838.714237
-72.508591,1000,2848.154532
-67.845659,1000,2857.231192
-28.802589,1000,2866.490664
148.22695,1000,2875.604028
-33.797909,1000,2884.849044
-59.558824,1000,2893.706703
-58.730159,1000,2902.611532
-23.875433,1000,2911.546859
-18.287938,1000,2920.672875
2.040816,1000,2929.516904
-54.063604,1000,2938.564465
-19.117647,1000,2947.411548
-66.216216,1000,2956.56452
-68.531469,1000,2965.691168
-118.385502,854,2973.322416
-19.161677,1000,2982.520188
