#{"t_start": 1763606797.941532, "env_id": "CarRacing-v2"}
r,l,t
-27.797834,1000,128.419235
-32.384342,1000,158.607305
-26.199262,1000,188.805229
-40.251572,1000,280.039065
-16.0,1000,310.189746
-28.301887,1000,340.892234
-37.5,1000,370.557516
-29.133858,1000,400.49539
-38.110749,1000,430.424015
-42.24924,1000,460.239587
-44.805195,1000,490.133017
-35.483871,1000,519.983592
-37.062937,1000,549.91356
-43.859649,1000,580.031808
-42.760943,1000,610.294409
-24.0,1000,640.693494
-40.0,1000,671.603602
-52.112676,1000,702.544432
-49.832776,1000,733.111518
-64.169381,1000,763.536297
-67.845659,1000,793.675134
-67.741935,1000,824.220648
-69.465649,1000,854.694905
-74.729242,1000,884.85185
-78.10219,1000,914.943093
-31.899642,1000,945.566581
11.510791,1000,975.990111
19.148936,1000,1006.178083
-82.269504,1000,1036.268207
-75.088968,1000,1066.319516
-74.358974,1000,1096.954864
-52.727273,1000,1127.006261
-68.19788,1000,1157.221825
-4.109589,1000,1187.52052
-27.083333,1000,1218.36265
-67.153285,1000,1249.274533
-19.463087,1000,1279.776375
-74.358974,1000,1310.205032
-54.545455,1000,1341.00243
-59.866221,1000,1371.559948
-7.749077,1000,1401.942037
-1.060071,1000,1432.084748
-61.661342,1000,1462.366294
-39.490446,1000,1491.867539
72.284644,1000,1521.698283
167.924528,1000,1551.675868
61.290323,1000,1581.804729
