#{"t_start": 1764011848.044468, "env_id": "CarRacing-v3"}
r,l,t
-49.820789,1000,546.828783
-55.555556,1000,557.545202
-50.0,1000,579.224465
-39.163498,1000,589.942923
-62.318841,1000,606.667611
-56.25,1000,616.924205
-45.392491,1000,634.19904
-74.025974,1000,645.694182
-57.51634,1000,662.93282
-56.862745,1000,673.11151
-56.834532,1000,689.263756
-60.526316,1000,699.417447
-60.0,1000,715.359836
-50.191571,1000,725.50745
-34.615385,1000,741.338624
-47.852761,1000,751.707854
-42.122186,1000,767.84856
-41.176471,1000,778.40095
-56.810631,1000,794.378084
-69.072165,1000,804.58453
-70.873786,1000,1031.4729
-59.558824,1000,1041.715089
-32.098765,1000,1058.042367
-52.205882,1000,1069.103197
-50.35461,1000,1087.078968
-25.266904,1000,1097.981162
-51.492537,1000,1114.543872
-55.172414,1000,1125.099117
-63.333333,1000,1141.108631
-73.770492,1000,1151.007068
-40.520446,1000,1166.639142
-54.545455,1000,1176.458875
-76.744186,1000,1192.88207
-74.683544,1000,1203.285663
-69.581749,1000,1219.239874
-70.588235,1000,1229.484501
-78.527607,1000,1245.750794
-71.830986,1000,1256.880058
8.974359,1000,1448.289188
-30.147059,1000,1458.757267
-37.5,1000,1475.364532
20.437956,1000,1485.747171
-17.910448,1000,1495.978961
-13.043478,1000,1512.246186
-17.525773,1000,1522.689454
-36.507937,1000,1538.795074
-65.753425,1000,1549.079034
-65.034965,1000,1565.221754
49.635036,1000,1575.623842
69.117647,1000,1593.421386
-22.261484,1000,1604.100269
-29.032258,1000,1620.455375
-36.305732,1000,1630.657314
126.618705,1000,1647.088934
-29.26045,1000,1657.199659
94.244604,1000,1672.764267
50.819672,1000,1682.754885
-17.602996,1000,1698.572851
136.933798,1000,1708.582224
150.87108,1000,1725.50301
37.037037,1000,1736.06177
166.055046,1000,1752.755197
154.295533,1000,1763.211927
150.0,1000,1817.836111
198.013245,1000,1855.750847
155.892256,1000,1903.685002
64.179104,1000,1924.058395
259.861592,1000,1957.900501
129.559748,1000,1968.47637
76.870748,1000,1985.005585
127.941176,1000,2027.785991
-30.06993,1000,2124.921131
68.75,1000,2150.351079
131.023102,1000,2194.638215
68.627451,1000,2205.717898
89.72332,1000,2221.65062
60.447761,1000,2232.069052
193.577982,1000,2303.831003
-17.491749,1000,2323.308564
264.963504,1000,2384.1923
78.451178,1000,2409.435714
415.679443,1000,2456.141039
79.775281,1000,2529.937945
121.864952,1000,2774.024034
601.818182,1000,4166.615657
183.018868,1000,5195.847287
626.141079,1000,5749.814739
714.035088,1000,5761.417837
140.677966,1000,7086.251963
232.236842,1000,7097.615565
82.156134,1000,7303.919506
522.710623,1000,7317.156224
626.643599,1000,7333.902175
508.247423,1000,7345.142631
535.416667,1000,7361.799678
689.667897,1000,7372.264108
648.407643,1000,7388.849938
600.729927,1000,7399.200829
586.41115,1000,7415.852593
297.394137,1000,7426.325397
309.240924,1000,7442.922181
875.177305,1000,7454.275282
823.076923,1000,9220.567789
210.559006,1000,9231.103069
